"country","fulladdress","galleryname","id","openinghours","lat","placeurl","gallery_img","city"
"France"," 22 Rue de Seine, 75006 Paris, France","Galerie Ange Basso",3466,"Monday: 10:00 AM - 7:00 PM; Tuesday: 10:00 AM - 7:00 PM; Wednesday: 10:00 AM - 7:00 PM; Thursday: 10:00 AM - 7:00 PM; Friday: 10:00 AM - 7:00 PM; Saturday: 10:00 AM - 7:00 PM; Sunday: Closed",48.855826,"https://www.galerie-angebasso.com/","https://dkhqdirp0wrr3.cloudfront.net/gallery_address_photos/b7c80278c79949fa934e6951d0d08163.jpg","Paris"
"France","Pavillon de la Reine Jeanne, 10 Chem. du Génie, 13007 Marseille, France","Galerie Alexis Pentcheff",3465,"Monday: Closed; Tuesday: 14:00 - 6:30 PM; Wednesday: 14:00 - 6:30 PM; Thursday: 14:00 - 6:30 PM; Friday: 14:00 - 6:30 PM; Saturday: 14:00 - 6:30 PM; Sunday: Closed",43.2822043,"https://www.galeriepentcheff.fr/","https://dkhqdirp0wrr3.cloudfront.net/gallery_address_photos/8369b8b66353428686ad09f5b8b11f7b.jpg","Marseille"
"France","32 Avenue Matignon, 75008 Paris, France","Galerie Alexis Lartigue",3464,"Monday: 14:00 - 7:00 PM; Tuesday: 11:00 AM - 7:00 PM; Wednesday: 11:00 AM - 7:00 PM; Thursday: 11:00 AM - 7:00 PM; Friday: 11:00 AM - 7:00 PM; Saturday: 14:00 - 7:00 PM; Sunday: Closed",48.872115,"https://alexislartigue.com/","s3://artflaneur-assets/gallery_address_photos/43eae950fa034019aac83f9414249ec8.jpg","Paris"
"France","14 Rue de Seine, 75006 Paris, France","Galerie Alexandre Biaggi",3463,"Monday: 14:00 - 7:00 PM; Tuesday: 10:30 AM - 7:00 PM; Wednesday: 10:30 AM - 7:00 PM; Thursday: 10:30 AM - 7:00 PM; Friday: 10:30 AM - 7:00 PM; Saturday: 14:00 - 7:00 PM; Sunday: Closed",48.85648639999999,"https://alexandrebiaggi.com/","https://dkhqdirp0wrr3.cloudfront.net/gallery_address_photos/ca07a7f91d7f4975aa4f23b07eff5570.jpg","Paris"
"Germany","Mengstraße 52, 23552 Lübeck","Hessingsart",3462,"Monday: Closed; Tuesday: Closed; Wednesday: Closed; Thursday: 10:00 AM - 6:00 PM; Friday: 10:00 AM - 6:00 PM; Saturday: 10:00 AM - 6:00 PM; Sunday: Closed",53.8687741,"https://heissingsart.webflow.io/","https://dkhqdirp0wrr3.cloudfront.net/gallery_address_photos/ac6f69ab396243f5b2212ebc9698659a.jpg","Schleswig-Holstein"
"France","19 Rue Guénégaud, 75006 Paris, France","Galerie Camille Pouyfaucon",3456,"Sunday Closed
Monday Closed
Tuesday 11 am–6 pm
Wednesday 11 am–6 pm
Thursday 11 am–6 pm
Friday 11 am–6 pm
Saturday 2–6 pm",48.8557053,"http://www.camillepouyfaucon.com/",,"Paris"
"France","28 Rue de Seine, 75006 Paris, France","Galerie Alain Marcelpoil",3455,"Monday: Closed; Tuesday: 11:00 AM - 1:00 PM, 14:00 - 7:00 PM; Wednesday: 11:00 AM - 1:00 PM, 14:00 - 7:00 PM; Thursday: 11:00 AM - 1:00 PM, 14:00 - 7:00 PM; Friday: 11:00 AM - 1:00 PM, 14:00 - 7:00 PM; Saturday: 14:00 - 7:00 PM; Sunday: Closed",48.855564,"https://www.galeriemarcelpoil.com/","https://dkhqdirp0wrr3.cloudfront.net/gallery_address_photos/21db08cc47674e14b96b5491fc4eb6b4.jpg","Paris"
"France","7 rue Saint-Claude 75003 Paris France","Galerie Alain Gutharc",3454,"Monday: Closed; Tuesday: 11:00 AM - 1:00 PM, 14:00 - 7:00 PM; Wednesday: 11:00 AM - 1:00 PM, 14:00 - 7:00 PM; Thursday: 11:00 AM - 1:00 PM, 14:00 - 7:00 PM; Friday: 11:00 AM - 1:00 PM, 14:00 - 7:00 PM; Saturday: 11:00 AM - 1:00 PM, 14:00 - 7:00 PM; Sunday: Closed",48.86004819999999,"https://www.alaingutharc.com/","https://dkhqdirp0wrr3.cloudfront.net/gallery_address_photos/5c9da451412047dc9e447e66083fc9b9.jpg","Paris"
"France","26 rue Keller, 75011 Paris, France","Galerie Akié Arichi",3453,"Monday: Closed; Tuesday: 14:00 - 7:00 PM; Wednesday: 14:00 - 7:00 PM; Thursday: 14:00 - 7:00 PM; Friday: 14:00 - 7:00 PM; Saturday: 14:00 - 7:00 PM; Sunday: Closed",48.8550741,"https://www.akiearichi.com/","https://dkhqdirp0wrr3.cloudfront.net/gallery_address_photos/0fb265767f0540d8970edd80032f19c3.jpg","Paris"
"France","24 bis Rue Saint-Roch, 75001 Paris, France","Galerie 24b.",3451,"Monday: Closed; Tuesday: 11:00 AM - 7:00 PM; Wednesday: 11:00 AM - 7:00 PM; Thursday: 11:00 AM - 7:00 PM; Friday: 11:00 AM - 7:00 PM; Saturday: 11:00 AM - 7:00 PM; Sunday: Closed",48.8659251,"https://www.24b.paris/","https://dkhqdirp0wrr3.cloudfront.net/gallery_address_photos/37bebc3dbd684975adb1c0dbbd2d310e.jpg","Paris"
